ID_PLT;NAZWA;ID_KRAJ;MIASTO;KOD;ULICA;NR_LOK;NIP
82;PRZEDSZKOLE MIEJSKIE ŚRÓDMIEŚCIE;PL;Grudziądz;86300;UL. GROBLOWA 15;Brak;8762443645
83;"USŁUGI JĘZYKOWO-TŁUMACZENIOWE ""SŁÓWKO"" DOMINIKA ŁASZKIEWICZ";PL;Grudziądz;86300;KRUCZA 3;Brak;8761911216
84;ZAKŁAD WYROBÓW CUKIERNICZYCH MIŚ SP. Z O.O.;PL;Oborniki Śląskie;55120;J.M.PIŁSUDSKIEGO 23/29;29;9151538759
86;PRZEDSIĘBIORSTWO AWIX-OIL ANDRZEJ KOŃCZALSKI;PL;Toruń;87100;NA ZAPLECZU 20;Brak;8791159421
87;"F.H. ""RARYTAS""  ELŻBIETA GRABOWSKA";PL;JABŁONOWO POM.;87330;GŁÓWNA 24;Brak;8741001037
88;DR. GERARD  SP. Z O.O.;PL;OŻARÓW MAZOWIECKI;5850;POZNAŃSKA 129/133;133;5272621598
89;RENATA JANISZEWSKA DZIAŁALNOŚĆ HANDLOWA W ZAKRESIE SPRZEDAŻY ARTYKUŁÓW SPOŻYWCZO-CUKIERNICZYCH;PL;GRUDZIĄDZ;86300;LEGIONÓW 33;Brak;8760200542
90;"PH ""KASZUB"" GRAŻYNA MOTYKA";PL;LUZINO;84242;MŁYŃSKA 4;Brak;5881009824
91;SKLEP WINNO-CUKIERNICZO-SPOŻYWCZY HANNA I JERZY TUCHLIŃSCY;PL;PUCK;84100;POKOJU 7;Brak;5870001799
92;"DELIKATESY P.H. ""TOMIK"" BOŻENA PIESIK";PL;Kwidzyn;82500;TYCHNOWY;Brak;5811069784
93;"LOMBARD F.H.U. ""BUGI""";PL;Grudziądz;86300;SIKORSKIEGO 1;Brak;8761688497
94;NOWAKOWSKA  KRYSTYNA SKLEP ROL.SPOŻ.PRZEMYSŁOWY I MAŁA GASTRONOMIA;PL;NOWE;86170;TRYL;Brak;8760201524
95;"ZAKŁAD USŁUGOWO-PRODUKCYJNY ""CUKIERNIA KRÓLEWSKA"" AGNIESZKA REDMAN";PL;Kowalewo Pomorskie;87410;CHOPINA 25a;Brak;8781409193
96;"F.W."" POLIMEX"" JAROSŁAW KURKOWSKI UL. ŁYSKOWSKIEGO 2/48, 87-300 BRODNICA";PL;Jabłonowo Pom.;87330;KOLEJOWA 24;Brak;9531552702
97;ZAKŁAD PRODUKCJI CUKIERNICZEJ JIW L. HOLEWA, R. HOLEWA SP. JAWNA;PL;PODŁĘŻE;32003;ZAKRZÓW 333;Brak;6831965588
99;"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE ""EWA"" SPÓŁKA AKCYJNA";PL;KROTOSZYN;63700;ZAMKOWY FOLWARK 9;Brak;6211526794
100;"CUKIERNICZA SPÓŁDZIELNIA INWALIDÓW ""SŁOWIANKA""";PL;SZCZECINEK;78400;HARCERSKA 42;Brak;6730005912
101;AEROKLUB GRUDZIĄDZKI LOTNISKO LISIE KĄTY;PL;GRUDZIĄDZ;86302;LISIE KĄTY;Brak;8760013797
102;GIMNAZJUM W KSIĄŻKACH;PL;KSIĄŻKI;87222;SZKOLNA 8;Brak;8781632927
103;SKLEP OGÓLNO SPOŻYWCZY TERESA PUDLIŃSKA;PL;GOLUB-DOBRZYŃ;87400;MARII KONOPNICKIEJ 13;Brak;8780008374
3397;***SPŁDZIELNIA ROLNICZO-HANDLOWA SKLEP SIEMKOWO;PL;LNIANO;86141;SIEMKOWO;Brak;5590001953
105;NSZZ POLICJANTÓW W GDAŃSKU;PL;GDAŃSK;80819;OKOPOWA 15;Brak;5832155796
106;HURT-DETAL ART. SPOŻ.-PRZEM. MIECZYSŁAW MUCHEWICZ;PL;GDYNIA;81577;RDESTOWA 7;Brak;9580535098
107;"P.H.U. ""SOLO"" BOŻENA WIŚNIEWSKA SKLEP SPOŻYWCZO-PRZEMYSŁOWY";PL;PŁUŻNICA;87214;PŁUŻNICA;Brak;8781002296
108; SKLEP SPOŻYWCZO-PRZEMYSŁOWY ZBIGNIEW WĄŻ;PL;DRAGACZ;86134;SZARYCH SZEREGÓW 5;Brak;5591035279
109;"FIRMA HANDLOWA ""DORA"" EDWARD KUFEL";PL;Grudziądz;86300;RYDGIERA 5/44;44;8762020548
110;PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE BOMILLA SP. Z O.O. ZPCHR;PL;Włocławek;87800;WYSZYŃSKIEGO 11/13;13;8882699850
111;BOGUMIŁA KŁOS;PL;NOWE;86170;FABRYCZNA 5;Brak;5591002104
112;OMIECZYŃSKI ALEKSANDER;PL;DRAGACZ;86134;MICHALE 56;Brak;8761370683
113;IZABELA MENDYK;PL;Grudziądz;86300;SOBIESKIEGO 13/8;8;8761470108
114;"CUKIERNICZA SPÓŁDZIELNIA INWALIDÓW ""JEDNOŚĆ""";PL;GRÓJEC;5600;J. PIŁSUDSKIEGO 32;Brak;7970000062
115;A.N.A. ANNA STACHERA;PL;Pruszków;5800;GRAŻYNY 5;Brak;5340210733
116;SŁODKIE HAWO HAWOPOL PAWEŁ FILIP PISARZEWSKI;PL;ŁOMIANKI;5092;ŁĄKOWA 18;Brak;1180015103
117;HYDROPOL SP. Z O.O.;PL;Grudziądz;86300;RYBACKA 14;Brak;8762171804
118;WYDRA  RAFAŁ;PL;Grudziądz 4;86302;SZYNYCH 21;Brak;8762256274
